Date,Price,Open,High,Low,Volume,Chg%,,,,,,,,
20-Dec-21,68.23,70.07,70.07,66.04,36.73K,-3.71%,,,,,,,,
21-Dec-21,71.12,69.21,71.55,68.56,358.78K,4.24%,,,,,,,,
22-Dec-21,72.76,71.27,73.16,70.8,306.71K,2.31%,,,,,,,,
23-Dec-21,73.79,73.03,73.95,72.27,270.22K,1.42%,,,,,,,,
27-Dec-21,75.57,73.38,76.09,72.57,268.49K,2.41%,,,,,,,,
28-Dec-21,75.98,75.97,76.92,75.53,249.73K,0.54%,,,,,,,,
29-Dec-21,76.56,76.04,77.37,75.36,283.56K,0.76%,,,,,,,,
30-Dec-21,76.99,76.58,77.44,75.78,231.16K,0.56%,,,,,,,,
31-Dec-21,75.21,76.66,77.08,74.95,237.12K,-2.31%,,,,,,,,
3-Jan-22,76.08,75.69,76.46,74.27,317.63K,1.16%,,,,,,,,
4-Jan-22,76.99,76.02,77.64,75.7,372.85K,1.20%,,,,,,,,
5-Jan-22,77.85,77.18,78.58,76.51,397.90K,1.12%,,,,,,,,
6-Jan-22,79.46,77.24,80.24,76.73,476.67K,2.07%,,,,,,,,
7-Jan-22,78.9,79.62,80.47,78.52,414.43K,-0.70%,,,,,,,,
10-Jan-22,78.23,78.88,79.45,77.83,389.96K,-0.85%,,,,,,,,
11-Jan-22,81.22,78.42,81.59,78.36,481.82K,3.82%,,,,,,,,
12-Jan-22,82.64,81.38,83.1,81.17,420.62K,1.75%,,,,,,,,
13-Jan-22,82.12,82.82,82.94,81.39,364.77K,-0.63%,,,,,,,,
14-Jan-22,83.82,81.73,84.45,81.58,364.44K,2.07%,,,,,,,,
16-Jan-22,83.83,83.78,84.09,83.68,0,0.01%,,,,,,,,
17-Jan-22,83.69,83.84,83.95,82.94,0,-0.17%,,,,,,,,
18-Jan-22,85.43,84.32,86.63,83.5,163.64K,2.08%,,,,,,,,
19-Jan-22,86.96,86.61,87.91,85.77,113.15K,1.79%,,,,,,,,
20-Jan-22,86.9,86.23,87.82,86,30.39K,-0.07%,,,,,,,,
21-Jan-22,85.14,84.57,85.56,82.78,509.10K,-2.03%,,,,,,,,
24-Jan-22,83.31,84.91,86.09,81.9,511.70K,-2.15%,,,,,,,,
25-Jan-22,85.6,84.15,85.71,82.99,507.22K,2.75%,,,,,,,,
26-Jan-22,87.35,85.26,87.95,85.01,459.64K,2.04%,,,,,,,,
27-Jan-22,86.61,87.15,88.54,86.2,427.80K,-0.85%,,,,,,,,
28-Jan-22,86.82,87.5,88.84,86.44,436.17K,0.24%,,,,,,,,
31-Jan-22,88.15,87.45,88.39,86.34,359.08K,1.53%,,,,,,,,
1-Feb-22,88.2,88.15,88.87,86.55,376.84K,0.06%,,,,,,,,
2-Feb-22,88.26,88.35,89.72,87.1,456.86K,0.07%,,,,,,,,
3-Feb-22,90.27,87.98,90.45,86.75,465.77K,2.28%,,,,,,,,
4-Feb-22,92.31,90.19,93.17,90.07,410.93K,2.26%,,,,,,,,
7-Feb-22,91.32,91.82,92.73,90.73,497.75K,-1.07%,,,,,,,,
8-Feb-22,89.36,91.64,91.68,88.51,467.39K,-2.15%,,,,,,,,
9-Feb-22,89.66,89.86,90.58,88.41,445.62K,0.34%,,,,,,,,
10-Feb-22,89.88,90.01,91.74,89.03,492.09K,0.25%,,,,,,,,
11-Feb-22,93.1,90,94.66,89.19,554.42K,3.58%,,,,,,,,
14-Feb-22,95.46,93.91,95.82,92.09,467.07K,2.53%,,,,,,,,
15-Feb-22,92.07,94.83,95.17,90.66,442.64K,-3.55%,,,,,,,,
16-Feb-22,93.66,92.21,95.01,90,401.45K,1.73%,,,,,,,,
17-Feb-22,91.76,90.9,93.36,90.62,212.55K,-2.03%,,,,,,,,
18-Feb-22,91.07,91.63,92.66,89.03,150.38K,-0.75%,,,,,,,,
20-Feb-22,91.62,91.22,91.74,91.08,0,0.60%,,,,,,,,
21-Feb-22,92.65,91.62,93.91,89.08,0,1.12%,,,,,,,,
22-Feb-22,92.35,91.75,96,90.35,40.75K,-0.32%,,,,,,,,
23-Feb-22,92.1,91.74,93.9,90.64,440.57K,-0.27%,,,,,,,,
24-Feb-22,92.81,92.52,100.54,91.45,872.24K,0.77%,,,,,,,,
25-Feb-22,91.59,93.32,95.64,90.06,523.79K,-1.31%,,,,,,,,
28-Feb-22,95.72,94.99,99.1,94.43,490.80K,4.51%,,,,,,,,
1-Mar-22,103.41,96.09,106.78,95.32,698.81K,8.03%,,,,,,,,
2-Mar-22,110.6,107.12,112.51,105.18,651.85K,6.95%,,,,,,,,
3-Mar-22,107.67,111.33,116.57,106.43,592.03K,-2.65%,,,,,,,,
4-Mar-22,115.68,107.96,116.02,107.25,493.88K,7.44%,,,,,,,,
7-Mar-22,119.4,121.33,130.5,115.54,576.02K,3.22%,,,,,,,,
8-Mar-22,123.7,120.67,129.44,117.07,583.11K,3.60%,,,,,,,,
9-Mar-22,108.7,124.66,126.84,103.63,594.77K,-12.13%,,,,,,,,
10-Mar-22,106.02,110.41,114.88,105.53,437.92K,-2.47%,,,,,,,,
11-Mar-22,109.33,105.99,110.29,104.48,368.19K,3.12%,,,,,,,,
14-Mar-22,103.01,109.42,109.72,99.76,344.18K,-5.78%,,,,,,,,
15-Mar-22,96.44,102.28,102.58,93.53,401.69K,-6.38%,,,,,,,,
16-Mar-22,95.04,95.23,99.22,94.07,293.95K,-1.45%,,,,,,,,
17-Mar-22,102.98,95.34,104.24,94.85,210.76K,8.35%,,,,,,,,
18-Mar-22,104.7,103.62,106.28,102.3,74.25K,1.67%,,,,,,,,
21-Mar-22,112.12,105.13,112.69,104.08,77.22K,7.09%,,,,,,,,
22-Mar-22,111.76,112.9,115.01,109.3,22.94K,-0.32%,,,,,,,,
23-Mar-22,114.93,108.85,115.4,108.38,289.18K,2.84%,,,,,,,,
24-Mar-22,112.34,114.47,116.64,110.61,307.24K,-2.25%,,,,,,,,
25-Mar-22,113.9,111.75,114.12,108.68,320.30K,1.39%,,,,,,,,
28-Mar-22,105.96,112.92,112.93,102.83,372.25K,-6.97%,,,,,,,,
29-Mar-22,104.24,103.47,107.84,98.44,387.20K,-1.62%,,,,,,,,
30-Mar-22,107.82,105.24,108.75,104.55,284.54K,3.43%,,,,,,,,
31-Mar-22,100.28,107.45,107.8,99.66,450.85K,-6.99%,,,,,,,,
1-Apr-22,99.27,101.23,101.75,97.78,324.78K,-1.01%,,,,,,,,
4-Apr-22,103.28,98.95,103.94,98.05,288.13K,4.04%,,,,,,,,
5-Apr-22,101.96,103.66,105.59,99.88,280.28K,-1.28%,,,,,,,,
6-Apr-22,96.23,101.24,104.02,95.73,366.04K,-5.62%,,,,,,,,
7-Apr-22,96.03,97.16,98.82,93.81,367.32K,-0.21%,,,,,,,,
8-Apr-22,98.26,97.17,98.76,95.29,310.08K,2.32%,,,,,,,,
11-Apr-22,94.29,98.4,98.52,92.93,315.87K,-4.04%,,,,,,,,
12-Apr-22,100.6,95.17,101.35,94.84,329.04K,6.69%,,,,,,,,
13-Apr-22,104.25,100.91,104.47,99.87,312.50K,3.63%,,,,,,,,
14-Apr-22,106.95,104.2,107.64,102.12,244.95K,2.59%,,,,,,,,
18-Apr-22,108.21,107.03,109.81,106,68.49K,1.18%,,,,,,,,
19-Apr-22,102.56,107.75,108.92,102.1,71.79K,-5.22%,,,,,,,,
20-Apr-22,102.75,103.05,104.16,100.7,17.02K,0.19%,,,,,,,,
21-Apr-22,103.79,102.5,105.42,102.01,280.32K,1.01%,,,,,,,,
22-Apr-22,102.07,104.07,104.22,101.06,246.12K,-1.66%,,,,,,,,
25-Apr-22,98.54,101.38,101.55,95.28,328.15K,-3.46%,,,,,,,,
26-Apr-22,101.7,98.64,102.78,97.06,351.85K,3.21%,,,,,,,,
27-Apr-22,102.02,101.76,102.99,99.8,278.78K,0.31%,,,,,,,,
28-Apr-22,105.36,102.11,105.68,100.13,312.06K,3.27%,,,,,,,,
29-Apr-22,104.69,105.17,107.99,103.78,294.39K,-0.64%,,,,,,,,
2-May-22,105.17,104,105.94,100.28,261.88K,0.46%,,,,,,,,
3-May-22,102.41,105.08,105.8,102.1,239.27K,-2.62%,,,,,,,,
4-May-22,107.81,103.5,108.61,102.95,272.91K,5.27%,,,,,,,,
5-May-22,108.26,107.58,111.37,106.45,286.92K,0.42%,,,,,,,,
6-May-22,109.77,108.7,111.18,107.24,294.28K,1.39%,,,,,,,,
9-May-22,103.09,110.43,110.49,102.13,368.18K,-6.09%,,,,,,,,
10-May-22,99.76,102.65,104.16,98.86,389.75K,-3.23%,,,,,,,,
11-May-22,105.71,99,106.44,98.2,382.70K,5.96%,,,,,,,,
12-May-22,106.13,105.63,107.37,102.66,323.55K,0.40%,,,,,,,,
13-May-22,110.49,106.65,110.64,106.29,240.99K,4.11%,,,,,,,,
16-May-22,114.2,110.98,114.9,108.11,289.13K,3.36%,,,,,,,,
17-May-22,112.4,113.87,115.56,111.75,252.63K,-1.58%,,,,,,,,
18-May-22,109.59,113.66,115.42,108.46,103.67K,-2.50%,,,,,,,,
19-May-22,112.21,109.09,112.62,105.13,68.51K,2.39%,,,,,,,,
20-May-22,113.23,111.45,114.04,110.85,20.00K,0.91%,,,,,,,,
23-May-22,110.29,110.56,111.96,109.15,215.62K,-2.60%,,,,,,,,
24-May-22,109.77,110.41,111.43,108.61,224.79K,-0.47%,,,,,,,,
25-May-22,110.33,110.39,111.68,109.23,191.37K,0.51%,,,,,,,,
26-May-22,114.09,110.69,114.83,110.27,234.75K,3.41%,,,,,,,,
27-May-22,115.07,114.2,115.3,112.85,217.28K,0.86%,,,,,,,,
29-May-22,115.61,115.3,115.81,115.2,0,0.47%,,,,,,,,
30-May-22,117.61,115.58,117.79,115.39,0,1.73%,,,,,,,,
31-May-22,114.67,114.96,119.98,114.15,440.80K,-2.50%,,,,,,,,
1-Jun-22,115.26,115.4,117.87,114.58,290.53K,0.51%,,,,,,,,
2-Jun-22,116.87,114.8,117.77,111.2,327.60K,1.40%,,,,,,,,
3-Jun-22,118.87,117.55,120.46,115.23,240.83K,1.71%,,,,,,,,
6-Jun-22,118.5,120.82,120.99,117.63,246.83K,-0.31%,,,,,,,,
7-Jun-22,119.41,119.1,120.36,117.14,341.69K,0.77%,,,,,,,,
8-Jun-22,122.11,119.79,123.18,119.3,340.59K,2.26%,,,,,,,,
9-Jun-22,121.51,122.43,122.72,120.79,293.30K,-0.49%,,,,,,,,
10-Jun-22,120.67,121.46,122.75,118.33,352.91K,-0.69%,,,,,,,,
13-Jun-22,120.93,120.19,122.25,117.47,372.40K,0.22%,,,,,,,,
14-Jun-22,118.93,121.09,123.68,116.62,366.32K,-1.65%,,,,,,,,
15-Jun-22,115.31,119.07,119.61,114.6,301.75K,-3.04%,,,,,,,,
16-Jun-22,117.59,115.98,118.08,112.31,162.54K,1.98%,,,,,,,,
17-Jun-22,109.56,117.08,118.97,108.25,103.15K,-6.83%,,,,,,,,
19-Jun-22,108.94,108.97,109.34,108.78,0,-0.57%,,,,,,,,
20-Jun-22,108.84,108.97,109.17,106.84,0,-0.09%,,,,,,,,
21-Jun-22,110.65,110.58,112.47,108.72,28.46K,1.66%,,,,,,,,
22-Jun-22,106.19,109.54,109.76,101.53,432.72K,-4.03%,,,,,,,,
23-Jun-22,104.27,104.42,107.05,102.32,346.36K,-1.81%,,,,,,,,
24-Jun-22,107.62,103.99,108.58,103.64,321.59K,3.21%,,,,,,,,
27-Jun-22,109.57,107.22,110.54,105.6,282.91K,1.81%,,,,,,,,
28-Jun-22,111.76,110.18,112.22,109.62,306.75K,2.00%,,,,,,,,
29-Jun-22,109.78,111.86,114.05,109.22,322.06K,-1.77%,,,,,,,,
30-Jun-22,105.76,109.7,110.45,105.1,362.89K,-3.66%,,,,,,,,
1-Jul-22,108.43,106.01,109.34,104.56,305.34K,2.52%,,,,,,,,
3-Jul-22,108.19,108.67,108.81,108.14,0,-0.22%,,,,,,,,
4-Jul-22,110.4,108.17,110.77,107.25,0,2.04%,,,,,,,,
5-Jul-22,99.5,108.8,111.45,97.43,594.22K,-9.87%,,,,,,,,
6-Jul-22,98.53,100.36,102.14,95.1,444.11K,-0.97%,,,,,,,,
7-Jul-22,102.73,98.22,104.48,96.57,379.86K,4.26%,,,,,,,,
8-Jul-22,104.79,102.22,105.24,101.51,327.46K,2.01%,,,,,,,,
11-Jul-22,104.09,104.79,105.05,100.89,348.57K,-0.67%,,,,,,,,
12-Jul-22,95.84,103.46,103.49,95.35,398.55K,-7.93%,,,,,,,,
13-Jul-22,96.3,95.89,97.96,93.67,347.19K,0.48%,,,,,,,,
14-Jul-22,95.78,96.57,97,90.56,387.53K,-0.54%,,,,,,,,
15-Jul-22,97.59,96.39,99.03,94.57,240.77K,1.89%,,,,,,,,
18-Jul-22,102.6,97.27,102.8,95.85,84.67K,5.13%,,,,,,,,
19-Jul-22,104.22,102,104.46,99.85,63.15K,1.58%,,,,,,,,
20-Jul-22,102.26,103.6,104.39,101.51,28.96K,-1.88%,,,,,,,,
21-Jul-22,96.35,99.91,99.99,94.59,318.91K,-5.78%,,,,,,,,
22-Jul-22,94.7,96.51,97.95,94.23,307.57K,-1.71%,,,,,,,,
25-Jul-22,96.7,95.1,96.94,93.01,279.00K,2.11%,,,,,,,,
26-Jul-22,94.98,96.33,99,94.76,310.04K,-1.78%,,,,,,,,
27-Jul-22,97.26,95.6,98.59,94.3,321.90K,2.40%,,,,,,,,
28-Jul-22,96.42,98.17,99.84,96.04,318.40K,-0.86%,,,,,,,,
29-Jul-22,98.62,97.3,101.88,96.41,349.37K,2.28%,,,,,,,,
1-Aug-22,93.89,98.46,98.65,92.42,365.29K,-4.80%,,,,,,,,
2-Aug-22,94.42,93.75,96.47,92.59,328.54K,0.56%,,,,,,,,
3-Aug-22,90.66,93.83,96.57,90.38,395.10K,-3.98%,,,,,,,,
4-Aug-22,88.54,90.95,91.9,87.55,334.93K,-2.34%,,,,,,,,
5-Aug-22,89.01,88.06,90.76,87.01,350.02K,0.53%,,,,,,,,
8-Aug-22,90.76,88.46,90.89,87.22,340.16K,1.97%,,,,,,,,
9-Aug-22,90.5,90.69,92.65,89.05,347.05K,-0.29%,,,,,,,,
10-Aug-22,91.93,90.51,92.43,87.66,383.77K,1.58%,,,,,,,,
11-Aug-22,94.34,91.55,95.05,91.24,341.23K,2.62%,,,,,,,,
12-Aug-22,92.09,94.09,94.81,91.16,264.95K,-2.38%,,,,,,,,
15-Aug-22,89.41,91.94,92.1,86.82,275.44K,-2.91%,,,,,,,,
16-Aug-22,86.53,87.93,90.65,85.73,305.37K,-3.22%,,,,,,,,
17-Aug-22,88.11,87.1,89.16,85.88,230.35K,1.83%,,,,,,,,
18-Aug-22,90.5,87.39,91.46,87.32,80.03K,2.71%,,,,,,,,
19-Aug-22,90.77,90.39,92.09,88.38,58.71K,0.30%,,,,,,,,
22-Aug-22,90.23,89.65,91.26,86.6,24.87K,-0.59%,,,,,,,,
23-Aug-22,93.74,90.55,94.22,90.42,285.61K,3.89%,,,,,,,,
24-Aug-22,94.89,93.78,95.4,92.79,320.39K,1.23%,,,,,,,,
25-Aug-22,92.52,95.35,95.76,92.29,279.88K,-2.50%,,,,,,,,
26-Aug-22,93.06,93.06,94.02,91.08,288.39K,0.58%,,,,,,,,
29-Aug-22,97.01,92.96,97.37,92.29,283.46K,4.24%,,,,,,,,
30-Aug-22,91.64,96.9,97.66,90.54,386.27K,-5.54%,,,,,,,,
31-Aug-22,89.55,92.31,92.73,88.27,344.15K,-2.28%,,,,,,,,
1-Sep-22,86.61,88.83,89.63,85.98,305.11K,-3.28%,,,,,,,,
2-Sep-22,86.87,86.56,89.66,86.35,277.53K,0.30%,,,,,,,,
4-Sep-22,88.25,86.91,88.28,86.91,0,1.59%,,,,,,,,
5-Sep-22,88.96,88.27,90.37,87.98,0,0.80%,,,,,,,,
6-Sep-22,86.88,86.84,90.39,86.18,420.26K,-2.34%,,,,,,,,
7-Sep-22,81.94,86.93,87.76,81.5,380.78K,-5.69%,,,,,,,,
8-Sep-22,83.54,81.91,84.25,81.2,342.76K,1.95%,,,,,,,,
9-Sep-22,86.79,82.8,87.2,82.71,305.19K,3.89%,,,,,,,,
12-Sep-22,87.78,86.25,89.1,85.16,275.10K,1.14%,,,,,,,,
13-Sep-22,87.31,88.09,89.31,85.06,348.00K,-0.54%,,,,,,,,
14-Sep-22,88.48,87.94,90.19,86.18,335.38K,1.34%,,,,,,,,
15-Sep-22,85.1,88.91,89.15,84.53,235.36K,-3.82%,,,,,,,,
16-Sep-22,85.11,85.16,86.59,84.27,87.83K,0.01%,,,,,,,,
19-Sep-22,85.73,85.21,86.22,82.1,59.63K,0.73%,,,,,,,,
20-Sep-22,84.45,85.61,86.45,83.52,26.23K,-1.49%,,,,,,,,
21-Sep-22,82.94,84.25,86.68,82.49,339.68K,-1.79%,,,,,,,,
22-Sep-22,83.49,83.07,86,82.4,303.49K,0.66%,,,,,,,,
23-Sep-22,78.74,83.54,83.92,78.04,334.27K,-5.69%,,,,,,,,
26-Sep-22,76.71,79.23,80.31,76.25,280.93K,-2.58%,,,,,,,,
27-Sep-22,78.5,76.47,79.51,76.42,283.61K,2.33%,,,,,,,,
28-Sep-22,82.15,78.08,82.34,76.55,324.68K,4.65%,,,,,,,,
29-Sep-22,81.23,81.9,82.94,80.34,286.13K,-1.12%,,,,,,,,
30-Sep-22,79.49,81.74,82.56,79.14,253.15K,-2.14%,,,,,,,,
3-Oct-22,83.63,81.02,84.56,80.87,287.17K,5.21%,,,,,,,,
4-Oct-22,86.52,83.22,86.98,83.22,302.55K,3.46%,,,,,,,,
5-Oct-22,87.76,86.37,88.42,85.42,329.79K,1.43%,,,,,,,,
6-Oct-22,88.45,88.08,89.07,87.04,235.30K,0.79%,,,,,,,,
7-Oct-22,92.64,88.93,93.31,88,429.16K,4.74%,,,,,,,,
10-Oct-22,91.13,93.48,93.64,90.54,289.51K,-1.63%,,,,,,,,
11-Oct-22,89.35,91.14,91.35,87.91,333.16K,-1.95%,,,,,,,,
12-Oct-22,87.27,88.67,90.07,86.28,332.27K,-2.33%,,,,,,,,
13-Oct-22,89.11,87.08,89.66,85.56,298.03K,2.11%,,,,,,,,
14-Oct-22,85.61,89.27,89.73,85.2,237.03K,-3.93%,,,,,,,,
17-Oct-22,85.46,85.59,87.12,84.61,172.02K,-0.18%,,,,,,,,
18-Oct-22,82.82,85.7,86.51,82.09,97.30K,-3.09%,,,,,,,,
19-Oct-22,85.55,83.69,86.2,82.59,71.31K,3.30%,,,,,,,,
20-Oct-22,85.98,85.94,88.17,85.22,18.18K,0.50%,,,,,,,,
21-Oct-22,85.05,85.07,85.9,83.15,272.80K,-1.08%,,,,,,,,
24-Oct-22,84.58,85.24,85.92,82.63,250.73K,-0.55%,,,,,,,,
25-Oct-22,85.32,84.88,86.03,83.06,240.44K,0.87%,,,,,,,,
26-Oct-22,87.91,85.07,88.41,84.14,287.18K,3.04%,,,,,,,,
27-Oct-22,89.08,88.26,89.79,87.33,292.56K,1.33%,,,,,,,,
28-Oct-22,87.9,88.67,88.76,87.08,263.40K,-1.32%,,,,,,,,
31-Oct-22,86.53,88.39,88.65,85.3,285.34K,-1.56%,,,,,,,,
1-Nov-22,88.37,86.43,89.45,85.92,274.32K,2.13%,,,,,,,,
2-Nov-22,90,88.62,90.36,87.72,280.96K,1.84%,,,,,,,,
3-Nov-22,88.17,89.35,89.67,87.6,239.82K,-2.03%,,,,,,,,
4-Nov-22,92.61,87.9,92.87,87.82,354.06K,5.04%,,,,,,,,
7-Nov-22,91.79,91,93.74,90.4,322.42K,-0.89%,,,,,,,,
8-Nov-22,88.91,91.87,92.17,88.52,344.22K,-3.14%,,,,,,,,
9-Nov-22,85.83,88.57,89.24,85.5,388.30K,-3.46%,,,,,,,,
10-Nov-22,86.47,85.85,87.35,84.7,340.01K,0.75%,,,,,,,,
11-Nov-22,88.96,86.27,90.1,86.18,301.66K,2.88%,,,,,,,,
14-Nov-22,85.87,89.02,89.84,85.15,315.45K,-3.47%,,,,,,,,
15-Nov-22,86.92,85.25,88.68,84.06,331.71K,1.22%,,,,,,,,
16-Nov-22,85.59,86.89,87.51,84.2,225.67K,-1.53%,,,,,,,,
17-Nov-22,81.64,85.22,85.45,81.4,138.48K,-4.62%,,,,,,,,
18-Nov-22,80.08,82.09,82.64,77.24,96.58K,-1.91%,,,,,,,,
21-Nov-22,79.73,80.3,80.3,75.08,21.98K,-0.44%,,,,,,,,
22-Nov-22,80.95,80.22,82.36,79.85,269.62K,1.53%,,,,,,,,
23-Nov-22,77.94,81.08,81.95,76.83,379.15K,-3.72%,,,,,,,,
24-Nov-22,77.95,77.53,78.19,76.92,0,0.01%,,,,,,,,
25-Nov-22,76.28,77.51,79.9,76.22,266.45K,-2.14%,,,,,,,,
28-Nov-22,77.24,75.93,77.84,73.6,405.03K,1.26%,,,,,,,,
29-Nov-22,78.2,76.54,79.65,76.29,381.87K,1.24%,,,,,,,,
